population,track_length
week-old,150
week-old,67
week-old,80
week-old,83
week-old,190
week-old,129
week-old,187
week-old,225
week-old,80
week-old,116
week-old,107
week-old,129
week-old,98
week-old,107
week-old,168
week-old,117
week-old,143
week-old,223
week-old,101
week-old,162
week-old,116
week-old,109
week-old,107
week-old,107
week-old,113
week-old,295
week-old,319
week-old,204
week-old,182
week-old,210
week-old,152
week-old,133
week-old,31
week-old,23
week-old,31
week-old,29
week-old,45
week-old,49
week-old,47
week-old,59
week-old,64
week-old,76
week-old,100
week-old,168
week-old,167
week-old,92
week-old,103
week-old,74
week-old,62
week-old,126
week-old,65
week-old,117
week-old,107
week-old,91
week-old,71
week-old,58
week-old,157
week-old,76
week-old,213
week-old,149
week-old,140
week-old,127
week-old,89
week-old,165
week-old,54
week-old,52
week-old,47
week-old,62
week-old,55
week-old,45
week-old,53
week-old,69
week-old,54
week-old,52
week-old,45
week-old,48
week-old,51
week-old,77
week-old,48
week-old,108
week-old,42
week-old,67
week-old,37
week-old,51
week-old,67
week-old,41
week-old,50
week-old,66
week-old,59
week-old,39
week-old,51
week-old,53
week-old,70
week-old,61
week-old,59
week-old,51
week-old,50
week-old,74
week-old,58
week-old,54
week-old,66
week-old,42
week-old,57
week-old,56
week-old,73
week-old,61
week-old,95
week-old,131
week-old,73
week-old,84
week-old,64
week-old,78
week-old,72
week-old,89
week-old,58
week-old,61
week-old,79
week-old,94
week-old,74
week-old,91
week-old,75
week-old,63
week-old,93
week-old,167
week-old,80
week-old,89
week-old,115
week-old,124
week-old,102
week-old,83
week-old,88
week-old,85
week-old,113
week-old,123
week-old,148
week-old,192
week-old,183
week-old,126
week-old,70
week-old,118
week-old,64
week-old,71
week-old,91
week-old,63
week-old,55
week-old,69
week-old,50
week-old,66
week-old,56
week-old,56
week-old,90
week-old,64
week-old,95
week-old,73
week-old,82
week-old,51
week-old,44
week-old,59
week-old,45
week-old,40
week-old,150
week-old,68
week-old,96
week-old,62
week-old,72
week-old,66
week-old,93
week-old,108
week-old,43
week-old,131
week-old,60
week-old,60
week-old,100
week-old,81
week-old,106
week-old,44
week-old,104
week-old,59
week-old,50
week-old,71
week-old,145
week-old,59
week-old,95
week-old,88
week-old,57
week-old,69
week-old,57
week-old,80
week-old,72
week-old,109
week-old,94
week-old,57
week-old,111
week-old,70
week-old,61
week-old,116
week-old,71
week-old,89
week-old,55
week-old,71
week-old,62
week-old,44
week-old,45
week-old,43
week-old,66
week-old,48
week-old,57
week-old,68
week-old,42
week-old,86
week-old,67
week-old,76
week-old,59
week-old,50
week-old,61
